Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
1,5.26,public,vehicle scrap,1,524332.7011776707,8588953.681448083,"c(524332.701177671, 8588953.68144808)",MAMOUDZOU
2,-1.6,public,solid waste,4,524315.9814763193,8588990.559437323,"c(524315.981476319, 8588990.55943732)",MAMOUDZOU
3,-5.38,public,vehicle scrap,3,524306.9912986797,8589054.006550124,"c(524306.99129868, 8589054.00655012)",MAMOUDZOU
4,1.3,public,solid waste,1,524281.4954624718,8589067.961168041,"c(524281.495462472, 8589067.96116804)",MAMOUDZOU
5,-2.66,public,vehicle scrap,1,524212.81313375616,8589098.357130408,"c(524212.813133756, 8589098.35713041)",MAMOUDZOU
6,6.9,public,droppings,1,524049.6966159884,8589171.48198792,"c(524049.696615988, 8589171.48198792)",MAMOUDZOU
7,15.02,public,vehicle scrap,5,523909.99925750995,8589213.073688252,"c(523909.99925751, 8589213.07368825)",MAMOUDZOU
8,12.74,public,vehicle scrap,3,523845.29462858575,8589198.936080312,"c(523845.294628586, 8589198.93608031)",MAMOUDZOU
9,5.02,public,droppings,1,523810.13964875275,8589214.888973625,"c(523810.139648753, 8589214.88897363)",MAMOUDZOU
10,3.417,public,vehicle scrap,1,523729.18398664775,8589265.410637824,"c(523729.183986648, 8589265.41063782)",MAMOUDZOU
11,-14.58,public,vehicle scrap,1,523775.6410042694,8589236.88805774,"c(523775.641004269, 8589236.88805774)",MAMOUDZOU
12,12.72,public,tire waste,100,523829.8657264134,8589180.553321822,"c(523829.865726413, 8589180.55332182)",MAMOUDZOU
13,-13.54,public,droppings,1,524327.4501534227,8588696.614320247,"c(524327.450153423, 8588696.61432025)",MAMOUDZOU
14,-34.8,prive,solid waste,4,524297.548657645,8588846.076019611,"c(524297.548657645, 8588846.07601961)",MAMOUDZOU
15,1.44,prive,solid waste,2,524285.1908944706,8588822.053224517,"c(524285.190894471, 8588822.05322452)",MAMOUDZOU
16,1.34,public,droppings,1,524212.3495574747,8588728.524490952,"c(524212.349557475, 8588728.52449095)",MAMOUDZOU
17,-0.94,public,droppings,1,524162.86522086145,8588825.032611739,"c(524162.865220861, 8588825.03261174)",MAMOUDZOU
18,-7.1,public,vehicle scrap,1,524189.5178436913,8588852.618393172,"c(524189.517843691, 8588852.61839317)",MAMOUDZOU
19,-5.06,public,vehicle scrap,1,524178.8871225896,8588901.91530269,"c(524178.88712259, 8588901.91530269)",MAMOUDZOU
20,0.683,public,solid waste,5,524161.4685589884,8588918.941563997,"c(524161.468558988, 8588918.941564)",MAMOUDZOU
21,-0.7,public,solid waste,3,524131.44549022696,8588934.243542623,"c(524131.445490227, 8588934.24354262)",MAMOUDZOU
22,16.25,public,vehicle scrap,1,524092.1712996907,8589047.307298029,"c(524092.171299691, 8589047.30729803)",MAMOUDZOU
23,-0.3,prive,tire waste,200,524047.12921171146,8588840.739710255,"c(524047.129211711, 8588840.73971025)",MAMOUDZOU
24,21.04,public,vehicle scrap,4,523886.93472589017,8588894.71667251,"c(523886.93472589, 8588894.71667251)",MAMOUDZOU
25,-2.033,public,droppings,1,523989.1418387165,8588550.069831967,"c(523989.141838717, 8588550.06983197)",MAMOUDZOU
26,1.96,public,vehicle scrap,1,523862.2725410162,8588483.766925707,"c(523862.272541016, 8588483.76692571)",MAMOUDZOU
27,5.34,public,droppings,1,523829.0830419719,8588470.194190172,"c(523829.083041972, 8588470.19419017)",MAMOUDZOU
28,10.483,public,vehicle scrap,7,523780.1035155543,8588438.06752697,"c(523780.103515554, 8588438.06752697)",MAMOUDZOU
29,9.8,public,vehicle scrap,30,523724.99877657124,8588449.326265937,"c(523724.998776571, 8588449.32626594)",MAMOUDZOU
30,-5.671,public,vehicle scrap,20,523734.2427085411,8588389.457652189,"c(523734.242708541, 8588389.45765219)",MAMOUDZOU
31,-2.733,public,marine debris,100,523992.17748228356,8588468.26522895,"c(523992.177482284, 8588468.26522895)",MAMOUDZOU
32,-1.3,public,solid waste,1,524013.56882168073,8588449.081475932,"c(524013.568821681, 8588449.08147593)",MAMOUDZOU
33,1.667,public,vehicle scrap,15,523983.0887711476,8588379.809310406,"c(523983.088771148, 8588379.80931041)",MAMOUDZOU
34,-6.7,public,vehicle scrap,5,524015.05855691986,8588302.19883879,"c(524015.05855692, 8588302.19883879)",MAMOUDZOU
35,2.2,public,solid waste,1,524198.48640550644,8588034.321669523,"c(524198.486405506, 8588034.32166952)",MAMOUDZOU
36,7.967,public,marine debris,100,524220.4927574696,8588030.33825209,"c(524220.49275747, 8588030.33825209)",MAMOUDZOU
37,0,public,vehicle scrap,3,524137.01487061067,8588045.946113357,"c(524137.014870611, 8588045.94611336)",MAMOUDZOU
38,4.867,public,vehicle scrap,2,523896.37738757086,8588097.704141414,"c(523896.377387571, 8588097.70414141)",MAMOUDZOU
39,1.86,public,marine debris,60,523898.71114683955,8588105.53490369,"c(523898.71114684, 8588105.53490369)",MAMOUDZOU
40,-1.78,public,marine debris,100,523817.74329331855,8588067.15423041,"c(523817.743293319, 8588067.15423041)",MAMOUDZOU
41,17.22,public,vehicle scrap,1,523738.0521288042,8588040.388111113,"c(523738.052128804, 8588040.38811111)",MAMOUDZOU
42,15.68,public,vehicle scrap,6,523654.4914800579,8588015.98269717,"c(523654.491480058, 8588015.98269717)",MAMOUDZOU
43,29.6,public,vehicle scrap,4,523605.58784620295,8587943.778519684,"c(523605.587846203, 8587943.77851968)",MAMOUDZOU
44,9.86,public,vehicle scrap,1,523776.92362105334,8588014.69842598,"c(523776.923621053, 8588014.69842598)",MAMOUDZOU
45,-4.12,public,vehicle scrap,1,523793.5972061958,8587921.90561173,"c(523793.597206196, 8587921.90561173)",MAMOUDZOU
46,11.86,public,solid waste,3,523754.5370800187,8587896.282874992,"c(523754.537080019, 8587896.28287499)",MAMOUDZOU
47,24.95,public,solid waste,1,523785.16098481504,8587857.123125492,"c(523785.160984815, 8587857.12312549)",MAMOUDZOU
48,11.44,public,vehicle scrap,2,523837.2278708174,8587789.831112042,"c(523837.227870817, 8587789.83111204)",MAMOUDZOU
